 ,LDHDStdSS60,LDHDStdSS80,StdSS0a,StdSS60a,LDStdSS80,LungSS0a,LDLungSS40,LDLungSS0,LDHDStdSS0,LSDStdSS60,LDStdSS0a,LDHDLungSS40,Average
找到真结节个数,2,2,4,4,2,4,0,0,2,2,2,2,2.16666666667
假阳性结节个数,5,5,2,4,5,2,8,4,3,3,5,7,4.41666666667
